AS,001,uAir Force ROTC Physical Training, uJohn David Anthony  Gasa, u6:30 am,7:30 am, uM
CHM,008,, uGeneral Chemistry II Workshop, uSylvia M.  Daoud Kinzie, u7:10 pm,8:35 pm, uM
CHM,008,, uGeneral Chemistry II Workshop, uSylvia M.  Daoud Kinzie, u5:40 pm,7:05 pm, uT
CHM,008,, uGeneral Chemistry II Workshop, uSylvia M.  Daoud Kinzie, u7:10 pm,8:35 pm, uT
CHM,008,, uGeneral Chemistry II Workshop, uEugenijus   Urnezius, u5:40 pm,7:05 pm, uM
CHM,008,, uGeneral Chemistry II Workshop, uEugenijus   Urnezius, u4:10 pm,5:35 pm, uT
CHM,025,, uOrganic Chemistry I Workshop, uRonda Sandifer  Bard, u7:10 pm,8:35 pm, uW
CHM,025,, uOrganic Chemistry I Workshop, uRonda Sandifer  Bard, u5:40 pm,7:05 pm, uW
CHM,025,, uOrganic Chemistry I Workshop, uRonda Sandifer  Bard, u7:10 pm,8:35 pm, uT
CHM,026,, uOrganic Chemistry II Workshop, uEdward J  Valente, u7:10 pm,8:35 pm, uW
CHM,026,, uOrganic Chemistry II Workshop, uEdward J  Valente, u4:10 pm,5:35 pm, uR
CHM,026,, uOrganic Chemistry II Workshop, uEdward J  Valente, u5:40 pm,7:05 pm, uR
CHM,026,, uOrganic Chemistry II Workshop, uWarren J  Wood, u7:10 pm,8:35 pm, uW
CHM,026,, uOrganic Chemistry II Workshop, uWarren J  Wood, u4:10 pm,5:35 pm, uR
CHM,026,, uOrganic Chemistry II Workshop, uWarren J  Wood, u5:40 pm,7:05 pm, uR
CHM,026,, uOrganic Chemistry II Workshop, uBuck   Taylor, u7:10 pm,8:35 pm, uW
CHM,026,, uOrganic Chemistry II Workshop, uBuck   Taylor, u5:40 pm,7:05 pm, uR
CHM,026,, uOrganic Chemistry II Workshop, uBuck   Taylor, u7:10 pm,8:35 pm, uR
CHM,026,, uOrganic Chemistry II Workshop, uBuck   Taylor, u7:10 pm,8:35 pm, uW
CHM,026,, uOrganic Chemistry II Workshop, uBuck   Taylor, u4:10 pm,5:35 pm, uR
CHM,026,, uOrganic Chemistry II Workshop, uBuck   Taylor, u5:40 pm,7:05 pm, uR
